Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit,IELTS Score
1,337,118,4,4.5,4.5,3.86,1,0.92,9.0
2,324,107,4,4.0,4.5,3.55,1,0.76,7.5
3,316,104,3,3.0,3.5,3.2,1,0.72,7.5
4,322,110,3,3.5,2.5,3.47,1,0.8,8.0
5,314,103,2,2.0,3.0,3.28,0,0.65,7.5
6,330,115,5,4.5,3.0,3.74,1,0.9,8.5
7,321,109,3,3.0,4.0,3.28,1,0.75,7.5
8,308,101,2,3.0,4.0,3.16,0,0.68,7.0
9,302,102,1,2.0,1.5,3.2,0,0.5,7.5
10,323,108,3,3.5,3.0,3.44,0,0.45,7.5
11,325,106,3,3.5,4.0,3.36,1,0.52,7.5
12,327,111,4,4.0,4.5,3.6,1,0.84,8.0
13,328,112,4,4.0,4.5,3.64,1,0.78,8.0
14,307,109,3,4.0,3.0,3.2,1,0.62,7.5
15,311,104,3,3.5,2.0,3.28,1,0.61,7.5
16,314,105,3,3.5,2.5,3.32,0,0.54,7.5
17,317,107,3,4.0,3.0,3.48,0,0.66,7.5
18,319,106,3,4.0,3.0,3.2,1,0.65,7.5
19,318,110,3,4.0,3.0,3.52,0,0.63,8.0
20,303,102,3,3.5,3.0,3.4,0,0.62,7.5
21,312,107,3,3.0,2.0,3.16,1,0.64,7.5
22,325,114,4,3.0,2.0,3.36,0,0.7,8.0
23,328,116,5,5.0,5.0,3.8,1,0.94,8.5
24,334,119,5,5.0,4.5,3.88,1,0.95,9.0
25,336,119,5,4.0,3.5,3.92,1,0.97,9.0
26,340,120,5,4.5,4.5,3.84,1,0.94,9.0
27,322,109,5,4.5,3.5,3.52,0,0.76,7.5
28,298,98,2,1.5,2.5,3.0,1,0.44,7.0
29,295,93,1,2.0,2.0,2.88,0,0.46,6.5
30,310,99,2,1.5,2.0,2.92,0,0.54,7.0
31,300,97,2,3.0,3.0,3.24,1,0.65,7.0
32,327,103,3,4.0,4.0,3.32,1,0.74,7.5
33,338,118,4,3.0,4.5,3.76,1,0.91,9.0
34,340,114,5,4.0,4.0,3.84,1,0.9,8.0
35,331,112,5,4.0,5.0,3.92,1,0.94,8.0
36,320,110,5,5.0,5.0,3.68,1,0.88,8.0
37,299,106,2,4.0,4.0,3.36,0,0.64,7.5
38,300,105,1,1.0,2.0,3.12,0,0.58,7.5
39,304,105,1,3.0,1.5,3.0,0,0.52,7.5
40,307,108,2,4.0,3.5,3.08,0,0.48,7.5
41,308,110,3,3.5,3.0,3.2,1,0.46,8.0
42,316,105,2,2.5,2.5,3.28,1,0.49,7.5
43,313,107,2,2.5,2.0,3.4,1,0.53,7.5
44,332,117,4,4.5,4.0,3.64,0,0.87,8.5
45,326,113,5,4.5,4.0,3.76,1,0.91,8.0
46,322,110,5,5.0,4.0,3.64,1,0.88,8.0
47,329,114,5,4.0,5.0,3.72,1,0.86,8.0
48,339,119,5,4.5,4.0,3.88,0,0.89,9.0
49,321,110,3,3.5,5.0,3.54,1,0.82,8.0
50,327,111,4,3.0,4.0,3.36,1,0.78,8.0
51,313,98,3,2.5,4.5,3.32,1,0.76,7.0
52,312,100,2,1.5,3.5,3.16,1,0.56,7.0
53,334,116,4,4.0,3.0,3.2,1,0.78,8.5
54,324,112,4,4.0,2.5,3.24,1,0.72,8.0
55,322,110,3,3.0,3.5,3.2,0,0.7,8.0
56,320,103,3,3.0,3.0,3.08,0,0.64,7.5
57,316,102,3,2.0,3.0,2.96,0,0.64,7.5
58,298,99,2,4.0,2.0,3.04,0,0.46,7.0
59,300,99,1,3.0,2.0,2.72,1,0.36,7.0
60,311,104,2,2.0,2.0,3.32,0,0.42,7.5
61,309,100,2,3.0,3.0,3.24,0,0.48,7.0
62,307,101,3,4.0,3.0,3.28,0,0.47,7.0
63,304,105,2,3.0,3.0,3.28,1,0.54,7.5
64,315,107,2,4.0,3.0,3.4,1,0.56,7.5
65,325,111,3,3.0,3.5,3.48,0,0.52,8.0
66,325,112,4,3.5,3.5,3.57,0,0.55,8.0
67,327,114,3,3.0,3.0,3.61,0,0.61,8.0
68,316,107,2,3.5,3.5,3.46,1,0.57,7.5
69,318,109,3,3.5,4.0,3.69,1,0.68,7.5
70,328,115,4,4.5,4.0,3.66,1,0.78,8.5
71,332,118,5,5.0,5.0,3.86,1,0.94,9.0
72,336,112,5,5.0,5.0,3.9,1,0.96,8.0
73,321,111,5,5.0,5.0,3.78,1,0.93,8.0
74,314,108,4,4.5,4.0,3.62,1,0.84,7.5
75,314,106,3,3.0,5.0,3.56,0,0.74,7.5
76,329,114,2,2.0,4.0,3.42,1,0.72,8.0
77,327,112,3,3.0,3.0,3.49,1,0.74,8.0
78,301,99,2,3.0,2.0,3.29,0,0.64,7.0
79,296,95,2,3.0,2.0,3.02,1,0.44,7.0
80,294,93,1,1.5,2.0,2.94,0,0.46,6.5
81,312,105,3,2.0,3.0,3.21,1,0.5,7.5
82,340,120,4,5.0,5.0,3.8,1,0.96,9.0
83,320,110,5,5.0,4.5,3.69,1,0.92,8.0
84,322,115,5,4.0,4.5,3.74,1,0.92,8.5
85,340,115,5,4.5,4.5,3.78,1,0.94,8.5
